,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
2014,"Symmetric assumptions in the theory of disruptive innovation: Theoretical and managerial implications","Sandstrom C., Berglund H., Magnusson M.",09631690,"Creativity and Innovation Management",23, 4,0,0,0,0,0,0,0,0,0,5,5,3,3,0,16,0,16
2014,"Beyond papermaking: technology and market shifts for wood-based biomass industries - management implications for large-scale industries","Novotny M., Laestadius S.",09537325,"Technology Analysis and Strategic Management",26, 8,0,0,0,0,0,0,0,0,0,3,6,1,3,3,16,0,16
2014,"A socio-technical perspective on the electrification of the automobile: Niche and regime interaction","Dijk M.",14709511,"International Journal of Automotive Technology and Management",14, 2,0,0,0,0,0,0,0,0,2,6,2,3,2,1,16,0,16
2011,"Interventions and models of their delivery to reduce the Burden of mental illness: Reply to commentaries","Kazdin A.E., Blase S.L.",17456916,"Perspectives on Psychological Science",6, 5,0,0,0,0,1,2,1,2,0,1,2,2,4,1,16,0,16
2018,"Radar Technologies for Earth Remote Sensing from CubeSat Platforms","Peral E., Im E., Wye L., Lee S., Tanelli S., Rahmat-Samii Y., Horst S., Hoffman J., Yun S.-H., Imken T., Hawkins D.",00189219,"Proceedings of the IEEE",106, 3,0,0,0,0,0,0,0,0,0,0,0,4,11,0,15,0,15
2015,"Putting personal knowledge management under the macroscope of informing science","Schmitt U.",15479684,"Informing Science",18, 1,0,0,0,0,0,0,0,1,1,5,6,1,1,0,15,0,15
2014,"Telehealth: A case study in disruptive innovation","Grady J.",0002936X,"American Journal of Nursing",114, 4,0,0,0,0,0,0,0,0,5,3,1,3,1,2,15,0,15
2014,"Accelerating change: Fostering innovation in healthcare delivery at academic medical centers","Ostrovsky A., Barnett M.",22130764,"Healthcare",2, 1,0,0,0,0,0,0,0,1,2,1,2,7,1,1,15,0,15
2013,"The innovative use of personal smart devices by students to support their learning","Nortcliffe A., Middleton A.",20449968,"Cutting-Edge Technologies in Higher Education",6, ,0,0,0,0,0,0,0,2,1,4,2,4,2,0,15,0,15
2011,"Analysis and commentary: The trade-off among quality, quantity, and cost: How to make it-if we must","Pauly M.V.",02782715,"Health Affairs",30, 4,0,0,0,0,1,1,4,2,1,2,1,2,1,0,15,0,15
2019,"Adding evidence to the debate: Quantifying Airbnb's disruptive impact on ten key hotel markets","Dogru T., Mody M., Suess C.",02615177,"Tourism Management",72, ,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14,0,14
2016,"Out of the frame: A longitudinal perspective on digitization and professional photojournalism","Klein-Avraham I., Reich Z.",14614448,"New Media and Society",18, 3,0,0,0,0,0,0,0,0,1,0,6,4,3,0,14,0,14
2015,"Managing potentially disruptive innovations in software companies: Transforming from On-premises to the On-demand","Kaltenecker N., Hess T., Huesig S.",09638687,"Journal of Strategic Information Systems",24, 4,0,0,0,0,0,0,0,0,0,4,2,1,7,0,14,0,14
2015,"Managing systemic and disruptive innovation: Lessons from the Renault Zero Emission Initiative","Von Pechmann F., Midler C., Maniak R., Charue-Duboc F.",09606491,"Industrial and Corporate Change",24, 3,0,0,0,0,0,0,0,0,0,3,4,2,5,0,14,0,14
2014,"Disruptive innovation in reverse: Adding a geographical dimension to disruptive innovation theory","Corsi S., Di Minin A.",09631690,"Creativity and Innovation Management",23, 1,0,0,0,0,0,0,0,1,0,1,2,5,5,0,14,0,14
2010,"The Tata Nano, the global 'value' segment and the implications for the traditional automotive industry regions","Wells P.",17521378,"Cambridge Journal of Regions, Economy and Society",3, 3,0,0,0,1,1,3,3,1,0,5,0,0,0,0,14,0,14
2009,"Forecasting VoWLAN technology for the Taiwan mobile telecommunication industry","Ho J.C., Chen J.-S.",09537325,"Technology Analysis and Strategic Management",21, 2,0,0,0,0,3,2,3,3,2,0,1,0,0,0,14,0,14
2018,"A survey of Open-Source UAV flight controllers and flight simulators","Ebeid E., Skriver M., Terkildsen K.H., Jensen K., Schultz U.P.",01419331,"Microprocessors and Microsystems",61, ,0,0,0,0,0,1,0,0,0,0,0,5,6,1,13,0,13
2018,"On the petrographic distinction of bituminite from solid bitumen in immature to early mature source rocks","Hackley P.C., Valentine B.J., Hatcherian J.J.",01665162,"International Journal of Coal Geology",196, ,0,0,0,0,0,0,0,0,0,0,0,2,6,5,13,0,13
2018,"With a little help from the miners: distributed ledger technology and market disintermediation","Zamani E.D., Giaglis G.M.",02635577,"Industrial Management and Data Systems",118, 3,0,0,0,0,0,0,0,0,0,0,0,3,8,2,13,0,13
2016,"Flexible formwork technologies – a state of the art review","Hawkins W.J., Herrmann M., Ibell T.J., Kromoser B., Michaelski A., Orr J.J., Pedreschi R., Pronk A., Schipper H.R., Shepherd P., Veenendaal D., Wansdronk R., West M.",14644177,"Structural Concrete",17, 6,0,0,0,0,0,0,0,0,0,0,2,4,6,1,13,0,13
2016,"The Isolation of Innovation: Restructuring the digital newsroom through intrapreneurship","Boyles J.L.",21670811,"Digital Journalism",4, 2,0,0,0,0,0,0,0,0,0,1,3,4,5,0,13,0,13
2016,"Technology-enhanced learning and higher education","Flavin M.",0266903X,"Oxford Review of Economic Policy",32, 4,0,0,0,0,0,0,0,0,0,1,2,2,8,0,13,0,13
2015,"A typology of technological change: Technological paradigm theory with validation and generalization from case studies","Ho J.C., Lee C.-S.",00401625,"Technological Forecasting and Social Change",97, ,0,0,0,0,0,0,0,0,0,2,2,6,2,1,13,0,13
2015,"Developing world users as lead users: A case study in engineering reverse innovation","Judge B.M., Holtta-Otto K., Winter V A.G.",10500472,"Journal of Mechanical Design, Transactions of the ASME",137, 7,0,0,0,0,0,0,0,0,0,4,3,3,3,0,13,0,13
2014,"Innovation as re-institutionalization: A case study of technological change in housebuilding in Norway","Orstavik F.",01446193,"Construction Management and Economics",32, 9,0,0,0,0,0,0,0,0,4,0,5,1,3,0,13,0,13
2013,"Context-dependent preferences and innovation strategy","Chen Y., Turut O.",00251909,"Management Science",59, 12,0,0,0,0,0,0,0,1,1,2,4,2,3,0,13,0,13
2013,"Innovation and social entrepreneurship at the bottom of the pyramid - A conceptual framework","Pervez T., Maritz A., de Waal A.",10158812,"South African Journal of Economic and Management Sciences",16, 5,0,0,0,0,0,0,0,0,2,3,4,0,4,0,13,0,13
2013,"Employing new business divisions to exploit disruptive innovations: The interplay between characteristics of the corporation and those of the venture management team","Crockett D.R., McGee J.E., Payne G.T.",07376782,"Journal of Product Innovation Management",30, 5,0,0,0,0,0,0,2,0,2,1,2,3,3,0,13,0,13
2012,"In Search of a New Paradigm for Higher Education","Schejbal D.",07425627,"Innovative Higher Education",37, 5,0,0,0,0,0,1,1,3,2,2,1,2,1,0,13,0,13
2018,"Disruption in Platform-Based Ecosystems","Ozalp H., Cennamo C., Gawer A.",00222380,"Journal of Management Studies",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12
2018,"Disruptive innovation and dynamic capabilities in emerging economies: Evidence from the Indian automotive sector","Pandit D., Joshi M.P., Sahay A., Gupta R.K.",00401625,"Technological Forecasting and Social Change",129, ,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0,12
2018,"Digital transformation and disruption of the health care sector: Internet-based observational study","Herrmann M., Boehme P., Mondritzki T., Ehlers J.P., Kavadias S., Truebel H.",14388871,"Journal of Medical Internet Research",20, 3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,12,0,12
2018,"Addressing barriers in the water-recycling innovation system to reach water security in arid countries","Bichai F., Kajenthira Grindle A., Murthy S.L.",09596526,"Journal of Cleaner Production",171, ,0,0,0,0,0,0,0,0,0,0,1,3,6,2,12,0,12
2017,"Accommodating the sharing revolution: a qualitative evaluation of the impact of Airbnb on Singapore’s budget hotels","Koh E., King B.",02508281,"Tourism Recreation Research",42, 4,0,0,0,0,0,0,0,0,0,0,0,6,6,0,12,0,12
2017,"Distributed ledger technology: Applications and implications","Maull R., Godsiff P., Mulligan C., Brown A., Kewell B.",10991697,"Strategic Change",26, 5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0,12
2017,"Disruptive innovation, stranded assets and forecasting: the rise and rise of renewable energy","Green J., Newman P.",20430795,"Journal of Sustainable Finance and Investment",7, 2,0,0,0,0,0,0,0,0,0,0,2,2,8,0,12,0,12
2015,"Is disruption theory wearing new clothes or just naked? Analyzing recent critiques of disruptive innovation theory","Weeks M.R.",14479338,"Innovation: Management, Policy and Practice",17, 4,0,0,0,0,0,0,0,0,0,0,4,4,3,1,12,0,12
2015,"Developing a sustainable financial model in higher education for open educational resources","Annand D.",14923831,"International Review of Research in Open and Distance Learning",16, 5,0,0,0,0,0,0,0,0,0,3,4,2,3,0,12,0,12
2015,"Public procurement of innovation and local authority procurement: procurement modes and framework conditions in three European cities","Dale-Clough L.",13511610,"Innovation",28, 3,0,0,0,0,0,0,0,0,1,1,3,0,6,1,12,0,12
2015,"How latecomers innovate through technology modularization: Evidence from China's Shanzhai industry","Liu X., Xie Y., Wu M.",14479338,"Innovation: Management, Policy and Practice",17, 2,0,0,0,0,0,0,0,0,0,1,1,3,7,0,12,0,12
2014,"Do online communities support research collaboration?","Jamali H.R., Russell B., Nicholas D., Watkinson A.",20503806,"Aslib Journal of Information Management",66, 6,0,0,0,0,0,0,0,0,2,4,2,2,2,0,12,0,12
2014,"Implementation of genomic medicine in a health care delivery system: A value proposition?","Wade J.E., Ledbetter D.H., Williams M.S.",15524868,"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics",166, 1,0,0,0,0,0,0,0,2,3,0,5,2,0,0,12,0,12
2012,"Embedded ubiquitous services on hospital information systems","Kuroda T., Sasaki H., Suenaga T., Masuda Y., Yasumuro Y., Hori K., Ohboshi N., Takemura T., Chihara K., Yoshihara H.",10897771,"IEEE Transactions on Information Technology in Biomedicine",16, 6,0,0,0,0,0,0,1,2,3,3,2,1,0,0,12,0,12
2011,"Examining whether dental therapists constitute a disruptive innovation in US dentistry","Edelstein B.L.",00900036,"American Journal of Public Health",101, 10,0,0,0,0,1,2,0,2,1,1,4,1,0,0,12,0,12
2011,"Supply chain strategy in nascent markets: The role of supply chain development in the commercialization process","Golicic S.L., Sebastiao H.J.",07353766,"Journal of Business Logistics",32, 3,0,0,0,0,0,0,0,1,1,3,2,2,3,0,12,0,12
2011,"Strategic response by providers to specialty hospitals, ambulatory surgery centers, and retail clinics","Burns L.R., David G., Helmchen L.A.",19427891,"Population Health Management",14, 2,0,0,0,1,0,0,3,4,2,0,0,2,0,0,12,0,12
2010,"Locating innovation: The endogeneity of technology, organizational structure, and financial contracting","Gilson R.J.",00101958,"Columbia Law Review",110, 3,0,0,0,1,2,1,0,0,3,2,1,2,0,0,12,0,12
2008,"Galileo's stream: A framework for understanding knowledge production","Tsao J.Y., Boyack K.W., Coltrin M.E., Turnley J.G., Gauster W.B.",00487333,"Research Policy",37, 2,0,1,2,0,1,1,0,0,1,2,0,1,3,0,12,0,12
2018,"Unpacking the Disruption Process: New Technology, Business Models, and Incumbent Adaptation","Cozzolino A., Verona G., Rothaermel F.T.",00222380,"Journal of Management Studies",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11,0,11
2017,"Value Propositions for Disruptive Technologies: Reconfiguration Tactics in the Case of Electric Vehicles","Bohnsack R., Pinkse J.",00081256,"California Management Review",59, 4,0,0,0,0,0,0,0,0,0,0,0,3,8,0,11,0,11
2017,"A dynamic marketing-operations interface model of new product updates","Samuel Sale R., Mesak H.I., Inman R.A.",03772217,"European Journal of Operational Research",257, 1,0,0,0,0,0,0,0,0,0,0,2,1,7,1,11,0,11
2017,"Towards a multimodal model of theorization processes","Cartel M., Colombero S., Boxenbaum E.",0733558X,"Research in the Sociology of Organizations",54A, ,0,0,0,0,0,0,0,0,0,0,8,2,1,0,11,0,11
2016,"A role for startups in unleashing the disruptive power of social media","Ghezzi A., Gastaldi L., Lettieri E., Martini A., Corso M.",02684012,"International Journal of Information Management",36, 6,0,0,0,0,0,0,0,0,0,0,2,3,6,0,11,0,11
2016,"Smart, connected products change a company’s business strategy orientation","Mohelska H., Sokolova M.",00036846,"Applied Economics",48, 47,0,0,0,0,0,0,0,0,0,0,2,5,3,1,11,0,11
2016,"Technological regimes and firm survival","Kim J., Lee C.-Y.",00487333,"Research Policy",45, 1,0,0,0,0,0,0,0,0,0,0,2,3,6,0,11,0,11
2015,"[Video games in the classrooms: Implications of a disruptive innovation to develop the Multiple Intelligences, Videojuegos en las aulas: Implicaciones de una innovación disruptiva para desarrollar las Inteligencias Múltiples]","del Moral Perez M.E., Fernandez Garcia L.C.",11302496,"Revista Complutense de Educacion",26, ,0,0,0,0,0,0,0,0,1,1,1,4,4,0,11,0,11
2011,"Why prize? The surprising resurgence of prizes to stimulate innovation","Wagner E.B.",08956308,"Research Technology Management",54, 6,0,0,0,0,0,0,0,2,3,0,1,1,4,0,11,0,11
2011,"Accelerating corporate innovation: Lessons from the venture capital model","Engel J.S.",08956308,"Research Technology Management",54, 3,0,0,0,0,0,1,2,0,0,2,3,0,3,0,11,0,11
2011,"A comparative study of proprietary ERP and open source ERP modules on the value chain","Lee S.-H., Trimi S., Choi D., Sung Rha J.",17567017,"International Journal of Information and Decision Sciences",3, 1,0,0,0,0,0,1,3,1,3,1,1,0,1,0,11,0,11
2018,"Internet of Things for Green Building Management: Disruptive Innovations Through Low-Cost Sensor Technology and Artificial Intelligence","Tushar W., Wijerathne N., Li W.-T., Yuen C., Vincent Poor H., Saha T.K., Wood K.L.",10535888,"IEEE Signal Processing Magazine",35, 5,0,0,0,0,0,0,0,0,0,0,0,1,9,0,10,0,10
2018,"Governance of big data collaborations: How to balance regulatory compliance and disruptive innovation","van den Broek T., van Veenstra A.F.",00401625,"Technological Forecasting and Social Change",129, ,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,10
2018,"Not Everyone Fits the Mold: Intratumor and Intertumor Heterogeneity and Innovative Cancer Drug Design and Development","Dzobo K., Senthebane D.A., Thomford N.E., Rowe A., Dandara C., Iqbal Parker M.",15362310,"OMICS A Journal of Integrative Biology",22, 1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,10,0,10
2017,"Disruptive innovation, managerial cognition, and technology competition outcomes","Vecchiato R.",00401625,"Technological Forecasting and Social Change",116, ,0,0,0,0,0,0,0,0,0,0,0,5,4,1,10,0,10
2017,"Green Devaluation: Disruption, Divestment, and Decommodification for a Green Economy","Knuth S.",10455752,"Capitalism, Nature, Socialism",28, 1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,10,0,10
2015,"Going radical: producing and transferring disruptive innovation","Colombo M.G., Franzoni C., Veugelers R.",08929912,"Journal of Technology Transfer",40, 4,0,0,0,0,0,0,0,0,1,3,1,3,2,0,10,0,10
2015,"Towards a regime-based typology of market evolution","Dijk M., Orsato R.J., Kemp R.",00401625,"Technological Forecasting and Social Change",92, ,0,0,0,0,0,0,0,0,0,3,3,0,2,2,10,0,10
2015,"The Clinical Translation Gap in Child Health Exercise Research: A Call for Disruptive Innovation","Ashish N., Bamman M.M., Cerny F.J., Cooper D.M., D'Hemecourt P., Eisenmann J.C., Ericson D., Fahey J., Falk B., Gabriel D., Kahn M.G., Kemper H.C.G., Leu S.-Y., Liem R.I., Mcmurray R., Nixon P.A., Olin J.T., Pianosi P.T., Purucker M., Radom-Aizik S., Taylor A.",17528054,"Clinical and Translational Science",8, 1,0,0,0,0,0,0,0,0,1,2,1,0,6,0,10,0,10
2014,"Undesigning interaction","Pierce J.",10725520,"Interactions",21, 4,0,0,0,0,0,0,0,0,1,3,2,1,1,2,10,0,10
2013,"Legacy sectors: Barriers to global innovation in agriculture and energy","Weiss C., Bonvillian W.B.",09537325,"Technology Analysis and Strategic Management",25, 10,0,0,0,0,0,0,0,0,0,3,2,1,4,0,10,0,10
2012,"Method for forecasting di based on triz technology system evolution theory","Sun J., Tan R.",02198770,"International Journal of Innovation and Technology Management",9, 2,0,0,0,0,0,0,1,0,4,1,2,1,1,0,10,0,10
2011,"Clinical translational science 2020: Disruptive innovation redefines the discovery-application enterprise","Waldman S.A., Terzic A.",17528054,"Clinical and Translational Science",4, 1,0,0,0,0,5,1,4,0,0,0,0,0,0,0,10,0,10
2010,"From experience: Disruptive innovation and the need for disruptive intellectual asset strategy","Lindsay J., Hopkins M.",07376782,"Journal of Product Innovation Management",27, 2,0,0,0,0,2,1,1,0,2,0,1,2,1,0,10,0,10
2010,"Limitations of low-end disruptive innovation strategies","Droege S., Johnson N.B.",09585192,"International Journal of Human Resource Management",21, 2,0,0,0,0,0,1,1,1,3,0,0,1,3,0,10,0,10
2009,"RFID technology as sustaining or disruptive innovation: Applications in the healthcare industry","Crooker K., Baldwin D., Chalasani S.",1450216X,"European Journal of Scientific Research",37, 1,0,0,0,1,2,0,3,0,2,0,2,0,0,0,10,0,10
2008,"Allocating resources to disruptive innovation projects: Challenging mental models and overcoming management resistance","Lettice F., Thomond P.",02675730,"International Journal of Technology Management",44, 1-2,0,0,0,1,1,1,0,2,0,0,2,2,1,0,10,0,10
2018,"Low-low (LL) high human capital clusters in public administration employment-predictor for digital infrastructure public investment priority-Romania case study","Lincaru C., Pirciog S., Grigorescu A., Tudose G.",23450282,"Entrepreneurship and Sustainability Issues",6, 2,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,9
2018,"Disruptive Innovation: An Intellectual History and Directions for Future Research","Christensen C.M., McDonald R., Altman E.J., Palmer J.E.",00222380,"Journal of Management Studies",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9,0,9
2018,"The effects of disruptive innovations on productivity","Feder C.",00401625,"Technological Forecasting and Social Change",126, ,0,0,0,0,0,0,0,0,0,0,0,2,7,0,9,0,9
2017,"An empirical study for smart production for TFT-LCD to empower Industry 3.5","Chien C.-F., Hong T.-Y., Guo H.-Z.",02533839,"Journal of the Chinese Institute of Engineers, Transactions of the Chinese Institute of Engineers,Series A/Chung-kuo Kung Ch'eng Hsuch K'an",40, 7,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,0,9
2017,"The FinTech Revolution and Financial Regulation: The Case of Online Supply-Chain Financing","Tsai C.-H., Peng K.-J.",20529015,"Asian Journal of Law and Society",4, 1,0,0,0,0,0,0,0,0,0,0,0,1,6,2,9,0,9
2016,"Determinants of service innovation in academic libraries through the lens of disruptive innovation","Yeh S.-T., Walter Z.",00100870,"College and Research Libraries",77, 6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,0,9
2013,"Category optimizer: A dynamic-assortment, new-product-introduction, mix-optimization, and demand-planning system","Sinha A., Sahgal A., Mathur S.K.",07322399,"Marketing Science",32, 2,0,0,0,0,0,0,2,0,3,2,0,1,1,0,9,0,9
2012,"Managing disruptive and sustaining innovations in green IT","Mohan K., Ramesh B., Cao L., Sarkar S.",15209202,"IT Professional",14, 6,0,0,0,0,0,0,0,2,3,0,2,2,0,0,9,0,9
2012,"From cottage industry to a dominant mode of primary care: Stages in the diffusion of a health care innovation (retail clinics)","McKinlay J.B., Marceau L.D.",02779536,"Social Science and Medicine",75, 6,0,0,0,0,0,0,2,1,3,1,0,2,0,0,9,0,9
2012,"Intracranial radiosurgery: An effective and disruptive innovation in neurosurgery","Niranjan A., Madhavan R., Gerszten P.C., Lunsford L.D.",10116125,"Stereotactic and Functional Neurosurgery",90, 1,0,0,0,0,0,1,1,1,3,0,1,1,1,0,9,0,9
2011,"The role of future-market focus in the early stages of NPD across varying levels of innovativeness","Lindgren L.M., O'Connor G.C.",07376782,"Journal of Product Innovation Management",28, 5,0,0,0,0,0,1,0,1,1,3,0,2,1,0,9,0,9
2011,"Moving tele-monitoring and tele-treatment from promise to practice: A business model approach for a chronic lower back pain application","Veld R.H.I., Fielt E., Vollenbroek-Hutten M.",13682156,"International Journal of Healthcare Technology and Management",12, 3-4,0,0,0,0,0,0,0,0,2,2,4,1,0,0,9,0,9
2011,"Disruptive innovation for social change: How technology innovation can be best managed in social context","Shin D.-H., Lee C.-W.",07365853,"Telematics and Informatics",28, 2,0,0,0,0,0,0,1,2,0,0,1,2,3,0,9,0,9
2010,"We cannot go on: Disruptive innovation and the first world war royal navy","Mukunda G.",09636412,"Security Studies",19, 1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,9,0,9
2008,"A plan for a US newspaper industry counterattack against disruptive innovators","Sterling J.",10878572,"Strategy and Leadership",36, 1,0,1,0,0,2,2,2,0,0,0,2,0,0,0,9,0,9
2018,"Network management in emergent high-tech business contexts: Critical capabilities and activities","Nordin F., Ravald A., Moller K., Mohr J.J.",00198501,"Industrial Marketing Management",74, ,0,0,0,0,0,0,0,0,0,0,1,1,6,0,8,0,8
2018,"E-health beyond technology: analyzing the paradigm shift that lies beneath","Moerenhout T., Devisch I., Cornelis G.C.",13867423,"Medicine, Health Care and Philosophy",21, 1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,8,0,8
2017,"Perspectives on the university as a business: The corporate management structure, neoliberalism and higher education","Taylor A.",20510969,"Journal for Critical Education Policy Studies",15, 1,0,0,0,0,0,0,0,0,0,0,1,1,5,1,8,0,8
2017,"The Encroachment Speed of Potentially Disruptive Innovations with Indirect Network Externalities: The Case of E-Readers","Parry M.E., Kawakami T.",07376782,"Journal of Product Innovation Management",34, 2,0,0,0,0,0,0,0,0,0,0,0,4,3,1,8,0,8
2017,"The changing role of the educational video in higher distance education","Laaser W., Toloza E.A.",14923831,"International Review of Research in Open and Distance Learning",18, 2,0,0,0,0,0,0,0,0,0,0,0,4,3,1,8,0,8
2016,"Extending boundaries of Blue Ocean Strategy","Agnihotri A.",0965254X,"Journal of Strategic Marketing",24, 6,0,0,0,0,0,0,0,0,0,0,3,2,3,0,8,0,8
2016,"A Bricolage Perspective on Technological Innovation in Emerging Markets","Gurca A., Ravishankar M.N.",00189391,"IEEE Transactions on Engineering Management",63, 1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,8,0,8
2015,"Telemedicine in the acute health setting: A disruptive innovation for specialists (an example from stroke)","Bagot K.L., Cadilhac D.A., Vu M., Moss K., Bladin C.F.",1357633X,"Journal of Telemedicine and Telecare",21, 8,0,0,0,0,0,0,0,0,0,0,4,2,0,2,8,0,8
2014,"Mobile phone middleware architecture for energy and context awareness in location-based services","Galeana-Zapien H., Torres-Huitzil C., Rubio-Loyola J.",14248220,"Sensors (Switzerland)",14, 12,0,0,0,0,0,0,0,0,2,3,1,1,1,0,8,0,8
2014,"Towards an agenda for information systems research on digital currencies and bitcoin","Giaglis G.M., Kypriotaki K.N.",18651348,"Lecture Notes in Business Information Processing",183, ,0,0,0,0,0,0,0,0,1,1,0,3,3,0,8,0,8
2011,"Managing disruptive innovation: Entrepreneurial strategies and tournaments for corporate longevity","Chandra Y., Yang S.-J.S.",03063070,"Journal of General Management",37, 2,0,0,0,0,0,0,2,0,1,1,1,2,1,0,8,0,8
2019,"JPEG Pleno: Providing representation interoperability for holographic applications and devices","Schelkens P., Ebrahimi T., Gilles A., Gioia P., Oh K.-J., Pereira F., Perra C., Pinheiro A.M.G.",12256463,"ETRI Journal",41, 1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,7
2018,"Perspectives on Disruptive Innovations","Kumaraswamy A., Garud R., Ansari S.S.",00222380,"Journal of Management Studies",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7
2018,"Engagement, satisfaction and customer behavior-based CRM performance: An empirical study of mobile instant messaging","Marino V., Lo Presti L.",20556225,"Journal of Service Theory and Practice",28, 5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,7
2018,"Comparing coverage of disruptive change in social and traditional media: Evidence from the sharing economy","Laurell C., Sandstrom C.",00401625,"Technological Forecasting and Social Change",129, ,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7,0,7
2018,"Trust in a viable real estate economy with disruption and blockchain","Veuger J.",02632772,"Facilities",36, 1-2,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,0,7
2018,"Barriers to innovation within large financial services firms: An in-depth study into disruptive and radical innovation projects at a bank","Das P., Verburg R., Verbraeck A., Bonebakker L.",14601060,"European Journal of Innovation Management",21, 1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7,0,7
2017,"Valley of the unicorns: consumer genomics, venture capital and digital disruption","Hogarth S.",14636778,"New Genetics and Society",36, 3,0,0,0,0,0,0,0,0,0,0,2,2,2,1,7,0,7
2017,"Disrupting and democratising higher education provision or entrenching academic elitism: towards a model of MOOCs adoption at African universities","Rambe P., Moeti M.",10421629,"Educational Technology Research and Development",65, 3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,7
2016,"When Harry met Sally: different approaches towards Uber and AirBnB—an Australian and Singapore perspective","Tham A.",10983058,"Information Technology and Tourism",16, 4,0,0,0,0,0,0,0,0,0,0,0,2,5,0,7,0,7
2016,"Professional disruption in health regulation: Electronic cigarettes in the European Union","Hasselbalch J.",20518803,"Journal of Professions and Organization",3, 1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,7,0,7
2016,"The role of inter-organizational networks in enabling or delaying disruptive innovation: a case study of mVoIP","Hynes N., Elwell A.D.",08858624,"Journal of Business and Industrial Marketing",31, 6,0,0,0,0,0,0,0,0,0,0,2,0,5,0,7,0,7
2016,"Cultural evolution as a nonstationary stochastic process","Nicholson A.E., Sibani P.",10762787,"Complexity",21, 6,0,0,0,0,0,0,0,0,0,2,3,0,2,0,7,0,7
2016,"Pharmacy on demand: New technologies to enable miniaturized and mobile drug manufacturing","Lewin J.J., Choi E.J., Ling G.",10792082,"American Journal of Health-System Pharmacy",73, 2,0,0,0,0,0,0,0,0,0,2,1,1,3,0,7,0,7
2016,"Disruptive conduct: the impact of disruptive technologies on social relations in higher education","Flavin M.",14703297,"Innovations in Education and Teaching International",53, 1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,7
2015,"Expanding the prevention armamentarium portfolio: A framework for promoting HIV-conversant communities within a complex, adaptive epidemiological landscape","Burman C.J., Aphane M., Mtapuri O., Delobelle P.",17290376,"Sahara J",12, 1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,7,0,7
2015,"Seeding the cloud: financial bootstrapping in the computer software sector","Mac an Bhaird C., Lynn T.",13691066,"Venture Capital",17, 1-2,0,0,0,0,0,0,0,0,1,2,1,1,2,0,7,0,7
2015,"Digital youth in brick and mortar schools: Examining the complex interplay of students, technology, education, and change","Peck C., Hewitt K.K., Mullen C.A., Lashley C., Eldridge J., Douglas T.-R.M.O.",01614681,"Teachers College Record",117, 5,0,0,0,0,0,0,0,0,0,1,3,2,1,0,7,0,7
2014,"India: MNC strategies for growth and innovation","Leavy B.",10878572,"Strategy and Leadership",42, 2,0,0,0,0,0,0,0,0,1,0,3,2,1,0,7,0,7
2014,"Disruptive innovation in health care: Business models, moral orders and electronic records","Garrety K., McLoughlin I., Zelle G.",14747464,"Social Policy and Society",13, 4,0,0,0,0,0,0,0,1,0,3,1,1,1,0,7,0,7
2012,"Evaluating research for disruptive innovation in the space sector","Summerer L.",00945765,"Acta Astronautica",81, 2,0,0,0,0,0,0,1,2,2,0,1,0,0,1,7,0,7
2009,"The diffusion of IP telephony and vendors commercialisation strategies","Constantiou I.D., Papazafeiropoulou A., Dwivedi Y.K.",02683962,"Journal of Information Technology",24, 1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,7,0,7
2009,"NASA pressure-relieving foam technology is keeping the leading innerspring mattress firms awake at night","Schmidt R.S.",01664972,"Technovation",29, 3,0,0,0,2,2,0,1,0,0,1,1,0,0,0,7,0,7
2018,"Fintech and regtech: Impact on regulators and banks","Anagnostopoulos I.",01486195,"Journal of Economics and Business",100, ,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,0,6
